Query,Output
"CINTA EP800/3 48""X32M 9X4MM CINTA TRANSPORTADORA, TIPO: EP800, ANCHO: 48"", ESPESOR CUBIERTAS: 9X4MM, NUMERO TELAS: 3, MATERIAL (TIPO) CARCASA: TELA POLIESTER NY LON, TIPO CANTOS: CEMENTADOS, GRADO CUBIERTAS: RMA-1, FORMATO SUMINISTRO: 32M. DOCUMENTOS QUE DEBE ENTREGAR PROVEEDOR: DISEÑO EMPALM E, DATA SHEET FABRICACION C CERTIFICADO LABORATORIO P CADA ROLLO",EP800/3
"TEST CUBETA NITRATOS 202-110,7mg/L 25UN TEST EN CUBETA; TIPO: NITRATOS; CARACTERISTICAS ADICIONALES: METODOFOTOMETRICO 0,5-25mg L, NITRATO 202-110,7mg L, 25 UNIDADES, PRODUCTO ESUNA MEZCLA; MARCAS SUGERIDAS: MERCK",202-110
"EMPAQUETADURA 2X1/8"" SC1600 EMPAQUETADURA, DIAMETRO NOMINAL: 2"", ESPESOR: 1 8"", NORMAS Y ESTANDARES: ANSI B16.5, CARACTERISTICAS GENERALES: CLASE 150, TIPO RF,MODELO SC-1600",SC-1600
"EMPAQUETADURA 8X1/8"" SC1600 EMPAQUETADURA, DIAMETRO NOMINAL: 2"", ESPESOR: 1 8"", NORMAS Y ESTANDARES: ANSI B16.5, CARACTERISTICAS GENERALES: CLASE 150, TIPO RF,MODELO SC-1600",SC-1600
SOLUCION AMINO ACIDO HACH 2386442 SOLUCION AMINOACIDO; MODIFICADOR: REACTIVO; NOMBRE FABRICANTE: HACH; NUMERO DE PARTE: 2386442; EQUIPO DEL QUE ES PARTE: PLANTA DE AG UA,2386442
SOLUCION ACIDO HACH 2254232 SOLUCION ACIDO; MODIFICADOR: CITRICO REACTIVO; NOMBRE FABRICANTE: HACH; NUMERO DE PARTE: 2254232; EQUIPO DEL QUE ES PARTE: PLANTA DE AGUA; CARACTERISTICAS ADICIONALES: LIQUIDO,2254232
"MOLIBDATO III REACTIVO HACH 41019956 MOLIBDATO; MODIFICADOR: III REACTIVO; NOMBRE FABRICANTE: HACH; NUMERO DEPARTE: 41-019956; EQUIPO DEL QUE ES PARTE: PLANTA AGUA; CARACTERISTICASADICIONALES: PARA SILICE, REACTIVO RANGO BAJO Y ULTRA BAJO, LIQUIDO,MODELO 199532-LM",41-019956
Luminaria Solar Atlas Copco Hilight S2+ Equipo: Luminaria Solar Marca: Atlas Copco Modelo: Hilight S2+ Ver documento adjunto,cant find the part number
"ELEMENT,FLEX,CAT 4796090 ELEMENT,FLEX,CAT 4796090",The part number in the given text is: 4796090
"Application specific circuit assemblies (FUSE,1A,250V AC,TIME DELAY,GLASS BODY,5M) BK/GDC-1A Technical Specification -Package data Pack/100 Special features Series GDC Terminal data Nickel-plated brs end cap term Overall length 20mm lg Diameter 5mm dia Body material Glass body Fuse cartridge type Time delay Rated voltage 250V AC Current rating 1A Short Name Fuse Fuse link,Cartridge ",BK/GDC-1A
"CONTACTOR,24V DC,SIEMENS 3RT20361KB44 10416136 CONTACTOR,24V DC,SIEMENS 3RT20361KB44 Descripción larga Contactor Modifier 1: 24V DC Additional modifiers: 22kW Additional modifiers: 2 n/o,2 n/c Additional modifiers: 3 polos Additional modifiers: 50A Fabricante: SIEMENS GMBH,W.GERMANY SIEMENS GMBH,W.GERMANY Número de pieza: 3RT1036-1BB44 SUPERSEDED 3RT2036-1KB44 Por favor, indicar expresamente y dentro de su cotización la marca y número de parte cotizado por usted. Indicar también el plazo de entrega en días o semanas. Además subir junto a su cotización la ficha técnica del fabricante e imágenes de apoyo.",3RT20361KB44
"ANILLO SELLO THYSSENKRUPP 4207061 ANILLO SELLO INFERIOR, REFERENCIA THYSSENKRUPP 4207061 USO O APLICACION: CHANCADOR DACITA KB 54X75",4207061
"Completion hydraulic pumps (BBA,ROT:ENG,12 CM CÚBICOS/REV CAP,25 BAR) BOMBA,ROTATIVA: TIPO:ENGRANAJE CAPACIDAD:12 CM CÚBICOS/REV PRESIÓN DE TRABAJO:25 BAR MATERIAL DE LA CARCASA:FUNDICIÓN DE HIERRO GRIS MATERIAL INTERNO:ACERO ACCIONAMIENTO:MOTOR ELÉCTRICO TAMAÑO DEL PUERTO:3/4"" VELOCIDAD:3000RPM TEXTO (TEXT):ATRIBUTO: FLUJO CW FLANCHE DIN ISO 3019, DIA EJE 14MM CONCHAVETA DE 5MM FABRICANTE (MANUFACTURER): KRACHT:KF12RF1 ",KF12RF1
"FILTRO BOMBA MANDO (19) THYSSEN 4206948 FILTRO (FILTER), THYSSEN KRUPP 4206948, USO: ALIMENTADOR PLACAS 240-AP-01, CHANCADOR PIPA NORTE DIABLO REGIMIENTO",4206948
"EXTRACTOR DE AIRE||AIROLITE 12"" DIAM| EXTRACTOR AIRE (EXHAUST FAN), 12 PULGADAS DIA., 1460 RPM, 220 VOLTS, 50 HZ, TIPO BEL AIR O SIMILAR, AIROLITE 30AUF",30AUF
"Level sensors or transmitters (TRANSMSR DENSIDAD BERTHOLD LB 474-02-M) TRANSMISOR TIPO:DENSIDAD RANGO:***** SALIDAS:4-2MA POTENCIA DE SUMINISTRO:100-240V TAMAÑO/CONEXIÓN:A 110MM X H 130MM X L 170MM MATERIAL:ALUMINIO ATRIBUTO:CARCASA DE PARED PARA 2X LB 47X MASTER (110-240 VAC) , INCLUYE PLACA CIEGA USO: MEDIDOR CONSISTENCIA BERTHOLD LB5441-02 40/35. FABRICANTE:BERTHOLD PARTE:LB 474-02-M FABRICANTE:BERTHOLD PARTE:LB444-01 FABRICANTE:BERTHOLD PARTE:40444-01 ",LB 474-02-M
"Personal computers (TECLD UNIVERSAL WEYTEC 22022B_US_BK) TECLADO TIPO:UNIVERSAL LLAVES:***** CONECTOR:***** ATRIBUTO:TECLADO INCRUSTADO,TECLAS NEGRAS. USO:PROCESO, WEY SMART TOUCH, SB116A. FABRICANTE:WEYTEC PARTE:22022B_US_BK ",22022B_US_BK
"Industrial parts or accessories (ACOPLAD,P/MANG:HEMBRA,3/4"",NPT,ACERO AL) ACOPLADOR,PARA MANGUERA: TIPO: HEMBRA TAMAÑO:D 3/4"" PRESIÓN DE TRABAJO: ***** CONEXIÓN: NPT MATERIAL: ACERO AL CARBONO FABRICANTE (MANUFACTURER): OILON ENERGY:6-HP31-236 ",6-HP31-236
"CARCASA OBTURACION THYSSENKRUPP 2219366 CARCASA OBTURACION, TIPO: CILINDRICO, DIMENSIONES: M30X100, NOMBRE FABRICANTE: THYSSENKRUPP, NUMERO PARTE: 2219366, EQUIPO AL CUAL P ERTENECE: CHANCADOR KB 54X75 DACITA 21009",2219366
"Fans (EJE:VENTILADOR CENTRÍFUGO,D 35MM) EJE: TIPO:VENTILADOR CENTRIFUGO TAMAÑO:35MM MATERIAL: ***** TEXTO (TEXT):USE : CENTRIFUGAL FAN MOUVI OY HAP-20 FABRICANTE (MANUFACTURER): MOUVI OY:50119873/ ITEM 7 MOUVI OY:HAP-20 ",HAP-20
"Smoke detectors (DETEC,D/PROT CONT INCEN:LLAMAS POR INFRA) DETECTOR,DE PROTECCIÓN CONTRA INCENDIOS: TIPO:LLAMAS POR INFRARROJOS RANGO DE TEMPERATURA:-67/167°F TENSIÓN:24VCC CORRIENTE:90-160M FABRICANTE (MANUFACTURER): SPECTREX-INC:40/40I ",40/40I
"Digital analyzer controllers (CONTRLD ACTUADOR 3HP, 50HZ 380V) CONTROLADOR TIPO:ACTUADOR RANGO:3HP, 50HZ ALIMENTACIÓN:380V 3FASE 50HZ ATRIBUTO:COMUNICACION PROFIBUS. USO: ACTUADOR AUMA SA 14.1. FABRICANTE:AUMA MODELO:AC 01.2 FABRICANTE:AUMA PARTE:13182754 ",13182754
"Digital analyzer controllers (CONTRLD ACTUADOR 3HP, 50HZ 380V) CONTROLADOR TIPO:ACTUADOR RANGO:3HP, 50HZ ALIMENTACIÓN:380V 3FASE 50HZ ATRIBUTO:COMUNICACION PROFIBUS. USO: ACTUADOR AUMA SA 14.1. FABRICANTE:AUMA MODELO:AC 01.2 FABRICANTE:AUMA PARTE:13182754 ",13182754
"Industrial garnets (VÁLV,D/RETEN:3/8"",BSP,350 BAR,110MM,AC.Z) VÁLVULA,DE RETENCIÓN: TIPO:***** DIÁMETRO DE LA VÁLVULA:3/8"" CONEXIÓN:BSP PRESIÓN DE TRABAJO:350 BAR AVANCE:110MM MATERIAL DEL CUERPO:ACERO ZINCADO MATERIALES INTERNOS:TRIM DE ACERO DEL CINC MATERIALES BLANDOS:NBR (ACRILONITRILO BUTADIENO) PASO:REDUCIDO BONETE:***** CONFIGURACIÓN:1-VÍA TEMPERATURA DE TRABAJO:-30 A 80 GRADOS C TEXTO (TEXT):USO: CILINDRO HIDRAULICO CAJAS LEVANTE SECADORA. FABRICANTE (MANUFACTURER): MONSUN TISON:VBS10R MONSUN TISON:VBS ",VBS10R
"Application specific circuit assemblies (TERMINAL BLOCK,2 WAY,24A,800V,4MM2,DIN R) 2002-1201 Technical Specification -Special features Clamp connection Block mounting data DIN rail Conductor data 4mm2 Voltage rating 800V Current rating 24A Block type 2 way Short Name Terminal block Terminal Block ",2002-1201
"Gearmotors (CAJA REDT BRIDA 50:1 MORSE 325Q56L50) CAJA REDUCTORA TIPO:ENGRANAJE TORNILLO SIN FIN ESTILO:BRIDA RELACIÓN DE TRANSMISIÓN:50:1 VELOCIDAD:1750 RPM POTENCIA:2,462HP MONTAJE:CARA C MATERIAL:HIERRO FUNDIDO CONEXIÓN:5/8"" D EJE FABRICANTE:MORSE PARTE:325Q56L50 ",325Q56L50
"MOTOR KIT,AIR,NDP-40VS,YAMA K45AM Junta tórica Modifier 1 Exterior Additional modifiers Válvula asiento Additional modifiers 40 PTFE Drawing Number MFR 40 Parent Equipment YAMADA NDP-40BVS-XP PUMP",K45AM
"PUMP,DIAPH,1-1/2IN,YAMA NDP40BVSXP Junta tórica Modifier 1 Exterior Additional modifiers Válvula asiento Additional modifiers 40 PTFE Drawing Number MFR 40 Parent Equipment YAMADA NDP-40BVS-XP PUMP",NDP40BVSXP
"AIRCON,SPLIT WALL,18000BTU/HR,768M3/HR M ACONDICIONADOR DE AIRE,SPLIT WALL,18000B Número de pieza: CST-18CST 11234534 AIRCON,SPLIT WALL,18000BTU/HR,768M3/HR M ACONDICIONADOR DE AIRE,SPLIT WALL,18000B Acondicionador de aire Short Name: Acondicionador De Aire Tipo De Acondicionador Aire: Split wall Capacidad Acondicionador Aire: 18000btu/hr Flujo De Aire Máximo: 768m3/hr max Voltage rating: 220V Frecuencia: 50Hz Número De Fases: 1 ph Altura: 302mm h Largo: 975mm lg Width: 213mm w Fabricante: CLARK Número de pieza: CST-18CST Estimado Proveedor/a, no olvide indicar siempre Marca y NP cotizados por usted, además de subir Ficha técnica o imagen y descripción que respalden su cotización. Indicar si es el material original exacto a lo que se está solicitando, o bien, si es una marca alternativa a lo solicitado. Plazo de entrega indicado debe ser en cantidad de días o semanas. Muchas gracias!",CST-18CST
"RUBBER,MAGIC,NABUSPA NBSMR192 https://www.raytech.it/es/producto/baja-tension/rellenos/gomas/magic-rubber Goma bicomponente de reticulación rápida. Goma bicomponente líquida aislante, extremadamente conformante y envolvente, flexible, elástica y reaccesible. En pocos minutos se transforma en una goma de muy elevadas características dieléctricas, térmicas, mecánicas y elásticas.",NBSMR192
"SPIDER ASSY,METSAUST 17502074501 PRESSURISER,KOMATSU R110206F2 PANEL,DIVERTER CTRL,P&H 79E5578F1 MODULE,P&H R54799D18 STARTER,REVERSING,KOMATSU R47370D8 BATTERY,UNIT,P&H R54872D70 BOLT,U,KOMATSU 20Q3D35 NUT,KOMATSU TG3941 CABINET,P&H R42936F2 CABINET,P&H R42936F2 BOLT,HEX,METSAUST 00615142675 GASKET,PINION,FLSMIDTH XL17200281003 SPIDER ASSY,METSAUST 17502074501 KEY,BUSH,METSAUST 12100 BOLT,METSMINE 00920101072 GASKET,BOLIDEN 59354636000 STUD,METSMINE 59454637000",17502074501
"KEY,BUSH,METSAUST 12100 PRESSURISER,KOMATSU R110206F2 PANEL,DIVERTER CTRL,P&H 79E5578F1 MODULE,P&H R54799D18 STARTER,REVERSING,KOMATSU R47370D8 BATTERY,UNIT,P&H R54872D70 BOLT,U,KOMATSU 20Q3D35 NUT,KOMATSU TG3941 CABINET,P&H R42936F2 CABINET,P&H R42936F2 BOLT,HEX,METSAUST 00615142675 GASKET,PINION,FLSMIDTH XL17200281003 SPIDER ASSY,METSAUST 17502074501 KEY,BUSH,METSAUST 12100 BOLT,METSMINE 00920101072 GASKET,BOLIDEN 59354636000 STUD,METSMINE 59454637000",XL17200281003
"GASKET,BOLIDEN 59354636000 PRESSURISER,KOMATSU R110206F2 PANEL,DIVERTER CTRL,P&H 79E5578F1 MODULE,P&H R54799D18 STARTER,REVERSING,KOMATSU R47370D8 BATTERY,UNIT,P&H R54872D70 BOLT,U,KOMATSU 20Q3D35 NUT,KOMATSU TG3941 CABINET,P&H R42936F2 CABINET,P&H R42936F2 BOLT,HEX,METSAUST 00615142675 GASKET,PINION,FLSMIDTH XL17200281003 SPIDER ASSY,METSAUST 17502074501 KEY,BUSH,METSAUST 12100 BOLT,METSMINE 00920101072 GASKET,BOLIDEN 59354636000 STUD,METSMINE 59454637000",XL17200281003
"CHAQUETA,UTILIDAD,PESADO,XL,88% ALGODON, 11454194 CHAQUETA,UTILIDAD,PESADO,XL,88% ALGODON, Numero de parte: CLC4-XL-U Chaqueta,Utilidad Short Name Chaqueta,Utilidad Estilo De La Chaqueta Pesado Talla De La Chaqueta XL Material De La Chaqueta 88% algodon,12% nailon JACKET COLOUR Azul marino Datos Cuello De La Chaqueta Cuello levantado Características Especiales ATPV 40cal/cm2 11454150 CAP,KNIT,DOBLE CAPA,TEJIDO MODACRÍLICO Numero de parte: HMC2-TU-U Cap,Knit Short Name Cap,Knit Garment Design Style Doble capa Material De La Vestimenta Tejido modacrílico Garment colour Negro Características Especiales E BT 28 cal/cm2 11451736 PARKA,TÉRMICA,MACHO,XL,AZUL MARINO,WEST Numero de parte: JLP8-XL-H Parka,Clima frío Short Name Parka,Térmica Diseño Ó Tipo De La Chaqueta Macho Talla De La Chaqueta XL JACKET COLOUR Azul marino Material De La Chaqueta Westex Ultrasoft Datos Manga De La Chaqueta Manga larga Datos Bolsillo De La Chaqueta 3 Peso Material De La Chaqueta 1.8kg Material Aislante De Chaqueta 100% modacrylic Temp O Aislación De Chaqueta ATPV 34 cal/cm2 Datos Logotipo De La Chaqueta Logotipo de SPENCE I BHP 11451745 SUÉTER,HOODIE,M,AZUL MARINO,FLEECE,LOGO Numero de parte: SMM4-M-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda M Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11451552 SUÉTER,HOODIE,XL,AZUL MARINO,FLEECE,LOG Numero de parte: SMM4-XL-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda XL Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11452092 POLERA,POLERA,MANGA LARGA,VARÓN,XL,MODA Numero de parte: SMP2-XL-H Polera Short Name Polera Estilo De La Vestimenta Polera,Manga larga,Varón Tamaño Prenda XL Material De La Vestimenta Modacrílico Garment colour Azul marino Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.4kg Datos Bolsillos De Vestimenta Sin bolsillo Características Especiales Rating EBT 8.2 cal/cm2 11451642 CAMISAS,HOMBRES,XL,CAQUI,MODACRÍLICO,PR Numero de parte: SMU2-XL-H Blusa,Hombres Short Name Camisas,Hombres Tamaño Prenda XL Garment colour Caqui Garment fibre material Modacrílico Diseño Tela De Vestimenta Prot arco elec,Electroestática Método Cerrado De Vestimenta Boton frontal Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.5kg Protección Ambiente Vestimenta ATPV 9 cal/cm2 Datos Bolsillos De Vestimenta 2 bolsillos de segur en pecho","CLC4-XL-U, HMC2-TU-U, JLP8-XL-H, SMM4-M-H, SMM4-XL-H, SMP2-XL-H, SMU2-XL-H"
"CAP,KNIT,DOBLE CAPA,TEJIDO MODACRÍLICO 11454194 CHAQUETA,UTILIDAD,PESADO,XL,88% ALGODON, Numero de parte: CLC4-XL-U Chaqueta,Utilidad Short Name Chaqueta,Utilidad Estilo De La Chaqueta Pesado Talla De La Chaqueta XL Material De La Chaqueta 88% algodon,12% nailon JACKET COLOUR Azul marino Datos Cuello De La Chaqueta Cuello levantado Características Especiales ATPV 40cal/cm2 11454150 CAP,KNIT,DOBLE CAPA,TEJIDO MODACRÍLICO Numero de parte: HMC2-TU-U Cap,Knit Short Name Cap,Knit Garment Design Style Doble capa Material De La Vestimenta Tejido modacrílico Garment colour Negro Características Especiales E BT 28 cal/cm2 11451736 PARKA,TÉRMICA,MACHO,XL,AZUL MARINO,WEST Numero de parte: JLP8-XL-H Parka,Clima frío Short Name Parka,Térmica Diseño Ó Tipo De La Chaqueta Macho Talla De La Chaqueta XL JACKET COLOUR Azul marino Material De La Chaqueta Westex Ultrasoft Datos Manga De La Chaqueta Manga larga Datos Bolsillo De La Chaqueta 3 Peso Material De La Chaqueta 1.8kg Material Aislante De Chaqueta 100% modacrylic Temp O Aislación De Chaqueta ATPV 34 cal/cm2 Datos Logotipo De La Chaqueta Logotipo de SPENCE I BHP 11451745 SUÉTER,HOODIE,M,AZUL MARINO,FLEECE,LOGO Numero de parte: SMM4-M-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda M Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11451552 SUÉTER,HOODIE,XL,AZUL MARINO,FLEECE,LOG Numero de parte: SMM4-XL-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda XL Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11452092 POLERA,POLERA,MANGA LARGA,VARÓN,XL,MODA Numero de parte: SMP2-XL-H Polera Short Name Polera Estilo De La Vestimenta Polera,Manga larga,Varón Tamaño Prenda XL Material De La Vestimenta Modacrílico Garment colour Azul marino Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.4kg Datos Bolsillos De Vestimenta Sin bolsillo Características Especiales Rating EBT 8.2 cal/cm2 11451642 CAMISAS,HOMBRES,XL,CAQUI,MODACRÍLICO,PR Numero de parte: SMU2-XL-H Blusa,Hombres Short Name Camisas,Hombres Tamaño Prenda XL Garment colour Caqui Garment fibre material Modacrílico Diseño Tela De Vestimenta Prot arco elec,Electroestática Método Cerrado De Vestimenta Boton frontal Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.5kg Protección Ambiente Vestimenta ATPV 9 cal/cm2 Datos Bolsillos De Vestimenta 2 bolsillos de segur en pecho","CLC4-XL-U, HMC2-TU-U, JLP8-XL-H, SMM4-M-H, SMM4-XL-H, SMP2-XL-H, SMU2-XL-H"
"PARKA,TÉRMICA,MACHO,XL,AZUL MARINO,WEST 11454194 CHAQUETA,UTILIDAD,PESADO,XL,88% ALGODON, Numero de parte: CLC4-XL-U Chaqueta,Utilidad Short Name Chaqueta,Utilidad Estilo De La Chaqueta Pesado Talla De La Chaqueta XL Material De La Chaqueta 88% algodon,12% nailon JACKET COLOUR Azul marino Datos Cuello De La Chaqueta Cuello levantado Características Especiales ATPV 40cal/cm2 11454150 CAP,KNIT,DOBLE CAPA,TEJIDO MODACRÍLICO Numero de parte: HMC2-TU-U Cap,Knit Short Name Cap,Knit Garment Design Style Doble capa Material De La Vestimenta Tejido modacrílico Garment colour Negro Características Especiales E BT 28 cal/cm2 11451736 PARKA,TÉRMICA,MACHO,XL,AZUL MARINO,WEST Numero de parte: JLP8-XL-H Parka,Clima frío Short Name Parka,Térmica Diseño Ó Tipo De La Chaqueta Macho Talla De La Chaqueta XL JACKET COLOUR Azul marino Material De La Chaqueta Westex Ultrasoft Datos Manga De La Chaqueta Manga larga Datos Bolsillo De La Chaqueta 3 Peso Material De La Chaqueta 1.8kg Material Aislante De Chaqueta 100% modacrylic Temp O Aislación De Chaqueta ATPV 34 cal/cm2 Datos Logotipo De La Chaqueta Logotipo de SPENCE I BHP 11451745 SUÉTER,HOODIE,M,AZUL MARINO,FLEECE,LOGO Numero de parte: SMM4-M-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda M Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11451552 SUÉTER,HOODIE,XL,AZUL MARINO,FLEECE,LOG Numero de parte: SMM4-XL-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda XL Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11452092 POLERA,POLERA,MANGA LARGA,VARÓN,XL,MODA Numero de parte: SMP2-XL-H Polera Short Name Polera Estilo De La Vestimenta Polera,Manga larga,Varón Tamaño Prenda XL Material De La Vestimenta Modacrílico Garment colour Azul marino Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.4kg Datos Bolsillos De Vestimenta Sin bolsillo Características Especiales Rating EBT 8.2 cal/cm2 11451642 CAMISAS,HOMBRES,XL,CAQUI,MODACRÍLICO,PR Numero de parte: SMU2-XL-H Blusa,Hombres Short Name Camisas,Hombres Tamaño Prenda XL Garment colour Caqui Garment fibre material Modacrílico Diseño Tela De Vestimenta Prot arco elec,Electroestática Método Cerrado De Vestimenta Boton frontal Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.5kg Protección Ambiente Vestimenta ATPV 9 cal/cm2 Datos Bolsillos De Vestimenta 2 bolsillos de segur en pecho","CLC4-XL-U, HMC2-TU-U, JLP8-XL-H, SMM4-M-H, SMM4-XL-H, SMP2-XL-H, SMU2-XL-H"
"SUÉTER,HOODIE,M,AZUL MARINO,FLEECE,LOGO 11454194 CHAQUETA,UTILIDAD,PESADO,XL,88% ALGODON, Numero de parte: CLC4-XL-U Chaqueta,Utilidad Short Name Chaqueta,Utilidad Estilo De La Chaqueta Pesado Talla De La Chaqueta XL Material De La Chaqueta 88% algodon,12% nailon JACKET COLOUR Azul marino Datos Cuello De La Chaqueta Cuello levantado Características Especiales ATPV 40cal/cm2 11454150 CAP,KNIT,DOBLE CAPA,TEJIDO MODACRÍLICO Numero de parte: HMC2-TU-U Cap,Knit Short Name Cap,Knit Garment Design Style Doble capa Material De La Vestimenta Tejido modacrílico Garment colour Negro Características Especiales E BT 28 cal/cm2 11451736 PARKA,TÉRMICA,MACHO,XL,AZUL MARINO,WEST Numero de parte: JLP8-XL-H Parka,Clima frío Short Name Parka,Térmica Diseño Ó Tipo De La Chaqueta Macho Talla De La Chaqueta XL JACKET COLOUR Azul marino Material De La Chaqueta Westex Ultrasoft Datos Manga De La Chaqueta Manga larga Datos Bolsillo De La Chaqueta 3 Peso Material De La Chaqueta 1.8kg Material Aislante De Chaqueta 100% modacrylic Temp O Aislación De Chaqueta ATPV 34 cal/cm2 Datos Logotipo De La Chaqueta Logotipo de SPENCE I BHP 11451745 SUÉTER,HOODIE,M,AZUL MARINO,FLEECE,LOGO Numero de parte: SMM4-M-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda M Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11451552 SUÉTER,HOODIE,XL,AZUL MARINO,FLEECE,LOG Numero de parte: SMM4-XL-H Suéter Short Name Suéter Estilo De La Vestimenta Hoodie Tamaño Prenda XL Garment colour Azul marino Material De La Vestimenta Fleece Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Largo Manga De La Vestimenta Largo Pocket data 3 pocket Características Especiales ATPV 27 cal/cm2 11452092 POLERA,POLERA,MANGA LARGA,VARÓN,XL,MODA Numero de parte: SMP2-XL-H Polera Short Name Polera Estilo De La Vestimenta Polera,Manga larga,Varón Tamaño Prenda XL Material De La Vestimenta Modacrílico Garment colour Azul marino Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.4kg Datos Bolsillos De Vestimenta Sin bolsillo Características Especiales Rating EBT 8.2 cal/cm2 11451642 CAMISAS,HOMBRES,XL,CAQUI,MODACRÍLICO,PR Numero de parte: SMU2-XL-H Blusa,Hombres Short Name Camisas,Hombres Tamaño Prenda XL Garment colour Caqui Garment fibre material Modacrílico Diseño Tela De Vestimenta Prot arco elec,Electroestática Método Cerrado De Vestimenta Boton frontal Datos Logotipo Vestimenta Logotipo de SPENCE I BHP Peso De Tela De La Vestimenta 0.5kg Protección Ambiente Vestimenta ATPV 9 cal/cm2 Datos Bolsillos De Vestimenta 2 bolsillos de segur en pecho","CLC4-XL-U, HMC2-TU-U, JLP8-XL-H, SMM4-M-H, SMM4-XL-H, SMP2-XL-H, SMU2-XL-H"
